date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
2020-04-16," ""Alaska""",300.0,8435.0,,,35.0,,,,,110.0,42353f78693987154276c7c482342a46ec11c180,2020-04-16T20:00:00Z,9.0,35.0,8735.0,8735.0,8735.0,2,0.0,1.0,64.0,7.0,71.0
2020-04-16," ""Alabama""",4345.0,32046.0,,,553.0,,227.0,,137.0,,bc8d87a6ade709e9ed0c8824e73dff454277a85f,2020-04-16T20:00:00Z,133.0,553.0,36391.0,36391.0,36391.0,1,12.0,28.0,2082.0,232.0,2314.0
2020-04-16," ""Arkansas""",1620.0,21055.0,,85.0,,,,21.0,,548.0,95e15a426548163accca607e39e7c97a7e229f6e,2020-04-16T20:00:00Z,37.0,,22675.0,22675.0,22675.0,5,4.0,0.0,790.0,51.0,841.0
2020-04-16," ""American Samoa""",0.0,3.0,17.0,,,,,,,,614a57a963d84c55c40b863aaf08221f68f0387c,2020-04-16T20:00:00Z,,,20.0,3.0,3.0,60,0.0,0.0,0.0,0.0,0.0
2020-04-16," ""Arizona""",4234.0,43164.0,,578.0,,278.0,,188.0,,460.0,1a168d4509dfc562564670fbcf91399c32b0981a,2020-04-16T20:00:00Z,150.0,,47398.0,47398.0,47398.0,4,8.0,0.0,1816.0,272.0,2088.0
2020-04-16," ""California""",26182.0,220218.0,13200.0,5031.0,,1568.0,,,,,5dcfd2b30974d93b8a73329bff070f19d3c6b04f,2020-04-16T20:00:00Z,890.0,,259600.0,246400.0,246400.0,6,69.0,0.0,28156.0,1758.0,29914.0
2020-04-16," ""Colorado""",8280.0,32253.0,,,1636.0,,,,,,911828248f6ff1d44d2064ff2e35a453a2bb543e,2020-04-16T20:00:00Z,357.0,1636.0,40533.0,40533.0,40533.0,8,28.0,80.0,614.0,339.0,953.0
2020-04-16," ""Connecticut""",15884.0,37238.0,,1926.0,,,,,,,1bb94dbdf022f3759ed20948cdbc345e04c11271,2020-04-16T20:00:00Z,971.0,,53122.0,53122.0,53122.0,9,103.0,0.0,1850.0,1129.0,2979.0
2020-04-16," ""District of Columbia""",2350.0,9800.0,,313.0,,105.0,,79.0,,552.0,100abd89bf88d9f88b0684c7fd04cc5c47fdbb60,2020-04-16T20:00:00Z,81.0,,12150.0,12150.0,12150.0,11,9.0,0.0,472.0,153.0,625.0
2020-04-16," ""Delaware""",2075.0,11275.0,,209.0,,,,,,378.0,dd363b6c3c0463e2a6e649df8585db9df967656e,2020-04-16T20:00:00Z,52.0,,13350.0,13350.0,13350.0,10,6.0,0.0,187.0,61.0,248.0
2020-04-16," ""Florida""",22897.0,196351.0,1325.0,,3460.0,,,,,,06c954c644a662900c772814ef2f221fa53f2cfb,2020-04-16T20:00:00Z,646.0,3460.0,220573.0,219248.0,219248.0,12,37.0,116.0,5353.0,386.0,5739.0
2020-04-16," ""Georgia""",15669.0,52270.0,,,3108.0,,,,,,8aaf9eeaa61c479d5fbdec370b859848240cbb24,2020-04-16T20:00:00Z,587.0,3108.0,67939.0,67939.0,67939.0,13,35.0,186.0,3167.0,682.0,3849.0
2020-04-16," ""Guam""",135.0,870.0,,9.0,,,,,,86.0,0107b4ce28700584446b713b915b5f313941df7f,2020-04-16T20:00:00Z,5.0,,1005.0,1005.0,1005.0,66,0.0,0.0,27.0,0.0,27.0
2020-04-16," ""Hawaii""",530.0,20170.0,,,45.0,,,,,359.0,e33b0740a6789b0e6c49839355dc5383946c7e82,2020-04-16T20:00:00Z,9.0,45.0,20700.0,20700.0,20700.0,15,0.0,0.0,884.0,13.0,897.0
2020-04-16," ""Iowa""",2141.0,18534.0,,175.0,,84.0,,48.0,,987.0,811a574b1b6eb83be03e008db2fb01e26663f57a,2020-04-16T20:00:00Z,60.0,,20675.0,20675.0,20675.0,19,7.0,0.0,660.0,146.0,806.0
2020-04-16," ""Idaho""",1587.0,14244.0,,,143.0,,46.0,,,,2760055f6b99a310921a9e6d1a2ed07aae6c7b81,2020-04-16T20:00:00Z,41.0,143.0,15831.0,15831.0,15831.0,16,2.0,2.0,310.0,123.0,433.0
2020-04-16," ""Illinois""",25733.0,96856.0,,4423.0,,1248.0,,797.0,,,23ce0bf16b1ad45da236bf0f2008ea9c7690fa8f,2020-04-16T20:00:00Z,1072.0,,122589.0,122589.0,122589.0,17,124.0,0.0,4520.0,1140.0,5660.0
2020-04-16," ""Indiana""",9542.0,41573.0,,,,696.0,,426.0,,,2927dc0fb6c1d5ce0ee783aad32fe18025ac0c3d,2020-04-16T20:00:00Z,477.0,,51115.0,51115.0,51115.0,18,41.0,0.0,2132.0,587.0,2719.0
2020-04-16," ""Kansas""",1588.0,14534.0,,,359.0,,,,,,f575d83d57c7f02002f57572833006ef35cd7045,2020-04-16T20:00:00Z,80.0,359.0,16122.0,16122.0,16122.0,20,4.0,17.0,1360.0,94.0,1454.0
2020-04-16," ""Kentucky""",2291.0,26033.0,,412.0,807.0,252.0,367.0,,,862.0,cf873721a2821eccf77c5806ad0e9bf84eead44a,2020-04-16T20:00:00Z,122.0,807.0,28324.0,28324.0,28324.0,21,7.0,120.0,546.0,81.0,627.0
2020-04-16," ""Louisiana""",22532.0,104054.0,,1914.0,,,,396.0,,,6ae3a5f7f0b1e1a5c00710d1a5571702dfbff14c,2020-04-16T20:00:00Z,1156.0,,126586.0,126586.0,126586.0,22,53.0,0.0,4077.0,581.0,4658.0
2020-04-16," ""Massachusetts""",32181.0,108592.0,,3454.0,2340.0,973.0,,,,,ec48a236ea400ddb66cf39987ce618642a9150bc,2020-04-16T20:00:00Z,1245.0,2340.0,140773.0,140773.0,140773.0,25,137.0,0.0,6487.0,2263.0,8750.0
2020-04-16," ""Maryland""",10784.0,48059.0,,,2451.0,,,,,736.0,d56e3e4ce6ef5676611c0e85ddcb6285cc9b16f3,2020-04-16T20:00:00Z,392.0,2451.0,58843.0,58843.0,58843.0,24,43.0,220.0,2328.0,752.0,3080.0
2020-04-16," ""Maine""",796.0,14076.0,,47.0,130.0,20.0,,7.0,,333.0,be0574a2f960338b2bd6f86c05096a5e3efe7620,2020-04-16T20:00:00Z,27.0,130.0,14872.0,14872.0,14872.0,23,3.0,4.0,0.0,26.0,26.0
2020-04-16," ""Michigan""",29263.0,65023.0,,3809.0,,1447.0,,1211.0,,617.0,fc2f4153662699af6660687292deea26fb89bd6f,2020-04-16T20:00:00Z,2093.0,,94286.0,94286.0,94286.0,26,172.0,0.0,3385.0,1204.0,4589.0
2020-04-16," ""Minnesota""",1912.0,39763.0,,213.0,475.0,103.0,188.0,,,1020.0,b833be00de318500a4f0801f2a296db180d26ee7,2020-04-16T20:00:00Z,94.0,475.0,41675.0,41675.0,41675.0,27,7.0,30.0,1330.0,103.0,1433.0
2020-04-16," ""Missouri""",5111.0,45537.0,,1043.0,,,,,,,53b0c28902cfc5e79cd3ef99c641acc23be5c41c,2020-04-16T20:00:00Z,152.0,,50648.0,50648.0,50648.0,29,5.0,0.0,1420.0,216.0,1636.0
2020-04-16," ""Northern Mariana Islands""",13.0,27.0,7.0,,,,,,,,7d544f5f807e9f8c276238d3a04583cea4a44be8,2020-04-16T20:00:00Z,2.0,,47.0,40.0,40.0,69,0.0,0.0,0.0,0.0,0.0
2020-04-16," ""Mississippi""",3624.0,34791.0,,,682.0,154.0,,99.0,,,5717e19e747db660898e4565434b15677e31d469,2020-04-16T20:00:00Z,129.0,682.0,38415.0,38415.0,38415.0,28,7.0,37.0,0.0,264.0,264.0
2020-04-16," ""Montana""",415.0,9521.0,,21.0,52.0,,,,,218.0,99cabfac3936ec988dc0c385d4bee214e6ecb79e,2020-04-16T20:00:00Z,7.0,52.0,9936.0,9936.0,9936.0,30,0.0,1.0,342.0,11.0,353.0
2020-04-16," ""North Carolina""",5465.0,65452.0,,452.0,,,,,,,a2c94ae3b889dfdf1066125f7d3d2876e246863a,2020-04-16T20:00:00Z,131.0,,70917.0,70917.0,70917.0,37,14.0,0.0,2748.0,342.0,3090.0
2020-04-16," ""North Dakota""",393.0,11311.0,,14.0,45.0,,,,,163.0,7c3e7659bc28e4b0d83b64339e64eb138aa67867,2020-04-16T20:00:00Z,9.0,45.0,11704.0,11704.0,11704.0,38,0.0,1.0,359.0,28.0,387.0
2020-04-16," ""Nebraska""",952.0,11342.0,,,,,,,,,8b2863e154a48cb4ef39054af406ec77527e3bd7,2020-04-16T20:00:00Z,21.0,,12294.0,12294.0,12294.0,31,1.0,0.0,514.0,51.0,565.0
2020-04-16," ""New Hampshire""",1139.0,11027.0,121.0,70.0,178.0,,,,,365.0,6397ebd7f9ef6f49d37c39a9cd815134cc8c6cec,2020-04-16T20:00:00Z,32.0,178.0,12287.0,12166.0,12166.0,33,0.0,0.0,0.0,0.0,0.0
2020-04-16," ""New Jersey""",75317.0,76513.0,,8224.0,,2014.0,,1645.0,,,8f04a2a6fb4ff0d2e41da80b7bca3da6ae2279ff,2020-04-16T20:00:00Z,3518.0,,151830.0,151830.0,151830.0,34,362.0,0.0,3522.0,4287.0,7809.0
2020-04-16," ""New Mexico""",1484.0,31910.0,,90.0,215.0,,,,,353.0,e5c87a0fafb5269e348f0ecb57470090ffb7e441,2020-04-16T20:00:00Z,36.0,215.0,33394.0,33394.0,33394.0,35,0.0,34.0,467.0,77.0,544.0
2020-04-16," ""Nevada""",3321.0,25130.0,,,,,,,,,d6b686120e1dfc653a79c73a2e541bc0063949c6,2020-04-16T20:00:00Z,137.0,,28451.0,28451.0,28451.0,32,6.0,0.0,686.0,110.0,796.0
